HomHumanSymbol	MouseSymbol
ANKRD61	Ankrd61
ANKRD60	Ankrd60
KCTD19	Kctd19
ANKRD42	Ankrd42
KCTD18	Kctd18
ANKRD35	Ankrd35
KCTD11	Kctd11
ANKRD34A	Ankrd34a
KCNU1	Kcnu1
ANKRD31	Ankrd31
KCNS2	Kcns2
ANO4	Ano4
KHDC1	Khdc1c
KHDC1L	Khdc1c
ANKUB1	Ankub1
KDM4D	Kdm4d
ANKRD7	Ankrd7
KDM3A	Kdm3a
ANKRD66	Ankrd66
KDM1B	Kdm1b
ANKRD63	Ankrd63
KDELR1	Kdelr1
KCTD21	Kctd21
MBOAT7	Mboat7
IRF7	Irf7
STC1	Stc1
ABCC2	Abcc2
CYBA	Cyba
LIAS	Lias
SLC18A3	Slc18a3
HEG1	Heg1
FZD6	Fzd6
IFT81	Ift81
ARPC5L	Arpc5l
PRSS35	Prss35
TFAP2E	Tfap2e
MCM3AP	Mcm3ap
GLIPR1L1	Glipr1l1
CGA	Cga
GLIPR1L1	Glipr1l3
CTTN	Cttn
GLIPR1	Glipr1
LMAN2L	Lman2l
AKAP17A	Akap17b
AKAP17BP	Akap17b
AKR1C1	Akr1cl
AKR1C2	Akr1cl
AKR1C3	Akr1cl
AKAP8	Akap8
IZUMO3	Izumo3
AKAP5	Akap5
IZUMO2	Izumo2
AKAP4	Akap4
IZUMO1	Izumo1
AKAP3	Akap3
IYD	Iyd
AKAIN1	Akain1
IWS1	Iws1
OR5M8	Or5m8
AIRN	Airn
IVL	Ivl
OR5M9	Or5m9b
AIM2	Aim2
ITPRIPL2	Itpripl2
OR5M9	Or5m9
AIFM3	Aifm3
ITPRIPL1	Itpripl1
OR5P2	Or5p72
AKR1C1	Akr1c14
AKR1C2	Akr1c14
AKR1C3	Akr1c14
AKR1C4	Akr1c14
JCHAIN	Jchain
OR5L2	Or5l13
AKR1C1	Akr1c6
AKR1C2	Akr1c6
AKR1C3	Akr1c6
AKR1C4	Akr1c6
JAML	Jaml
OR5M1	Or5m10
OR5M10	Or5m10
IZUMO4	Izumo4
OR5M10	Or5m10b
OR5M11	Or5m11b
OR5M11	Or5m11
OR5M3	Or5m3
OR5M3	Or5m3b
MRPS33	Mrps33
PYM1	Pym1
NUP205	Nup205
SLC2A12	Slc2a12
PLS3	Pls3
ONECUT1	Onecut1
DNASE1L3	Dnase1l3
NKAIN1	Nkain1
GLRX2	Glrx2
RASD2	Rasd2
NR4A2	Nr4a2
RASD1	Rasd1
RSPO1	Rspo1
CHMP1A	Chmp1a
SGTB	Sgtb
GPR143	Gpr143
LIM2	Lim2
PURB	Purb
CRYBA1	Cryba1
CARHSP1	Carhsp1
ALB	Alb
AKR1E2	Akr1e1
KASH5	Kash5
AKR1D1	Akr1d1
KANTR	Kantr
AKR1C4	Akr1c13
JSRP1	Jsrp1
AKR1C4	Akr1c12
JRKL	Jrkl
AKR1C3	Akr1c18
JRK	Jrk
AKR1C1	Akr1c21
AKR1C2	Akr1c21
AKR1C4	Akr1c21
JPX	Jpx
AKR1C1	Akr1c20
AKR1C2	Akr1c20
AKR1C3	Akr1c20
AKR1C4	Akr1c20
JPH4	Jph4
ALDH1B1	Aldh1b1
KCNA5	Kcna5
OR5P2	Or5p59
ALDH1A1	Aldh1a1
KCNA10	Kcna10
OR5P2	Or5p50
ALDH1A1	Aldh1a7
KBTBD11	Kbtbd11
OR5P2	Or5p6
KATNIP	Katnip
OR5P2	Or5p69
OR5P2	Or5p78
OR5P2	Or5p60
OTUB1	Otub1
RPS10	Rps10
ZFYVE19	Zfyve19
CCDC124	Ccdc124
SYT5	Syt5
GRAP2	Grap2
CABP1	Cabp1
RABGEF1	Rabgef1
EPDR1	Epdr1
ILDR1	Ildr1
DCTN3	Dctn3
FBXO16	Fbxo16
BMP5	Bmp5
PTPN5	Ptpn5
SWT1	Swt1
LYAR	Lyar
PAK4	Pak4
TENT4A	Tent4a
MSL1	Msl1
HDAC11	Hdac11
TLL1	Tll1
WDR77	Wdr77
KCTD4	Kctd4
RAP2C	Rap2c
PNO1	Pno1
ENOPH1	Enoph1
TENT4B	Tent4b
ADIG	Adig
CCT4	Cct4
RHBDF1	Rhbdf1
PGM3	Pgm3
ADGRE4P	Adgre4
IQCM	Iqcm
MB	Mb
SNX7	Snx7
DOLPP1	Dolpp1
ADCY4	Adcy4
IQCJ	Iqcj
PDCD10	Pdcd10
TUBA3C	Tuba3b
TUBA3D	Tuba3b
TUBA3E	Tuba3b
ADCY10	Adcy10
IQCF6	Iqcf6
TSC22D3	Tsc22d3
ADAMTSL1	Adamtsl1
IQCF5	Iqcf5
ADAMTS7	Adamts7
IQCF4P	Iqcf4
ADAMTS5	Adamts5
IQCF1	Iqcf1
ADAMTS4	Adamts4
IQANK1	Iqank1
ADAMTS19	Adamts19
IP6K3	Ip6k3
ADAMTS16	Adamts16
INSYN2B	Insyn2b
OR5H1	Or5h22
OR5H14	Or5h22
OR5H15	Or5h22
OR5H2	Or5h22
OR5H6	Or5h22
INSRR	Insrr
OR5H1	Or5h26
OR5H15	Or5h26
OR5H2	Or5h26
OR5H6	Or5h26
OR5H8	Or5h26
IQCN	Iqcn
OR5D18	Or5d35
OR5D3P	Or5d45
OR5D3P	Or5d44
OR5D3P	Or5d3
OR5G3	Or5g23
OR5G3	Or5g29
OR5G3	Or5g27
OR5H1	Or5h25
OR5H14	Or5h25
OR5H15	Or5h25
OR5H6	Or5h25
OR5H8	Or5h25
OR5H1	Or5h23
OR5H14	Or5h23
OR5H15	Or5h23
OR5H2	Or5h23
OR5H6	Or5h23
OR5H8	Or5h23
DCK	Dck
TUBA3C	Tuba3a
TUBA3D	Tuba3a
TUBA3E	Tuba3a
C1D	C1d
SYPL2	Sypl2
UBXN7	Ubxn7
WDFY1	Wdfy1
ILK	Ilk
ELAVL2	Elavl2
LMTK3	Lmtk3
SELENBP1	Selenbp2
PRDM5	Prdm5
PRRC1	Prrc1
SELENBP1	Selenbp1
CPSF1	Cpsf1
GOLIM4	Golim4
NR2F1	Nr2f1
IPO11	Ipo11
FLNB	Flnb
NSUN2	Nsun2
NCEH1	Nceh1
MYO3A	Myo3a
CDKAL1	Cdkal1
PHTF2	Phtf2
SNIP1	Snip1
PSMD3	Psmd3
LTV1	Ltv1
AHSP	Ahsp
IRX2	Irx2
IRX6	Irx6
MAP2K2	Map2k2
AHSA2P	Ahsa2
ITGA7	Itga7
C1orf52	2410004B18Rik
AHNAK2	Ahnak2
ISYNA1	Isyna1
AGPAT2	Agpat2
ISX	Isx
AGER	Ager
ISLR	Islr
AGBL3	Agbl3
IRGQ	Irgq
AGBL1	Agbl1
IRGM	Irgm2
AFP	Afp
IRGM	Igtp
OR5K4	Or5k16
AFM	Afm
IRGM	Irgm1
OR5K4	Or5k15
AEN	Aen
IRAK2	Irak2
OR5L1	Or5l14
OR5L2	Or5l14
AIF1	Aif1
ITM2A	Itm2a
OR5H1	Or5h18
OR5H14	Or5h18
OR5H15	Or5h18
OR5H2	Or5h18
OR5H6	Or5h18
ITIH6	Itih6
OR5H15	Or5h17
OR5H6	Or5h17
OR5H6	Or5h19
OR5I1	Or5i1
OR5J2	Or5j3
OR5K2	Or5k14
OR5K3	Or5k14
OR5K3	Or5k3
OR5K3	Or5k8
CCM2	Ccm2
FBXO45	Fbxo45
ADCY7	Adcy7
SLC25A34	Slc25a34
HIC1	Hic1
PCF11	Pcf11
SAT1	Sat1
SYT14	Syt14
PRPSAP1	Prpsap1
NMBR	Nmbr
TRUB2	Trub2
AP2S1	Ap2s1
SPOP	Spop
DBNL	Dbnl
VEPH1	Veph1
IL9	Il9
PPP1R42	Ppp1r42
PCOLCE	Pcolce
IL7	Il7
CCDC25	Ccdc25
PRPF18	Prpf18
PPP2R5C	Ppp2r5c
IL5RA	Il5ra
KDELR3	Kdelr3
ACAA1	Acaa1b
TMEM235	Tmem235
IL5	Il5
TRA2A	Tra2a
ACAA1	Acaa1a
TAAR6	Taar6
IL4I1	Il4i1b
NEK4	Nek4
TPGS2	Tpgs2
STEEP1	Steep1
IL3RA	Il3ra
PIGM	Pigm
RABEPK	Rabepk
IL36G	Il36g
GPR39	Gpr39
IL33	Il33
IL31RA	Il31ra
IL31	Il31
OR5B12	Or5b12
OR5B17	Or5b113
OR5B3	Or5b113
OR5B21	Or5b21
OR5B3	Or5b101
OR5B3	Or5b104
OR5B3	Or5b105
OR5B3	Or5b111
OR5B3	Or5b97
OR5B3	Or5b96
OR5B3	Or5b107
TAAR3P	Taar3
SPAG6	Spag6l
TAAR4P	Taar4
CPNE5	Cpne5
SPAG6	Spag6
TAAR2	Taar2
BAG2	Bag2
PLPP5	Plpp5
TAAR5	Taar5
TPST2	Tpst2
PLPP4	Plpp4
TAAR1	Taar1
CACNG2	Cacng2
TATDN1	Tatdn1
NIBAN1	Niban1
WIPI1	Wipi1
TFCP2L1	Tfcp2l1
ARMC2	Armc2
INSM2	Insm2
ADPRM	Adprm
MGST1	Mgst1
SAMD3	Samd3
INSL6	Insl6
TRIM29	Trim29
MAPRE3	Mapre3
DLL4	Dll4
INSC	Insc
TRIM10	Trim10
CPA4	Cpa4
INPP5A	Inpp5a
STN1	Stn1
CPA2	Cpa2
NKAIN2	Nkain2
INHBE	Inhbe
BHLHE22	Bhlhe22
INHBC	Inhbc
INCA1	Inca1
INAFM1	Inafm1
IMPDH2	Impdh2-ps
IL9R	Il9r
OR5D18	Or5d47
OR5B3	Or5b109
OR5B3	Or5b102
OR5B3	Or5b108
OR5B3	Or5b3
OR5B3	Or5b112
OR5C1	Or5c1
OR5D14	Or5d36
OR5D14	Or5d14
OR5D16	Or5d18
OR5D18	Or5d18
OR5D16	Or5d16
OR5D18	Or5d16
MXRA7	Mxra7
HTRA1	Htra1
ITSN2	Itsn2
PLA2G4A	Pla2g4a
RUNX2	Runx2
HMCN1	Hmcn1
CNR2	Cnr2
OLFML2B	Olfml2b
MREG	Mreg
ATF6	Atf6
NR4A1	Nr4a1
AK9	Ak9
MRRF	Mrrf
LMX1A	Lmx1a
TMEM30B	Tmem30b
TRIM54	Trim54
MTHFD2	Mthfd2
CYP39A1	Cyp39a1
CDC42EP4	Cdc42ep4
ZNF512	Zfp512
LITAF	Litaf
ADAT2	Adat2
SMPX	Smpx
OR5A2	Or5a21
OR5AC1	Or5ac19
OR5AC1	Or5ac17
OR5AC1	Or5ac16
OR5AC2	Or5ac16
OR5AC1	Or5ac20
OR5AK2	Or5ak23
OR5AK3P	Or5ak23
OR5AK2	Or5ak24
OR5AK3P	Or5ak24
OR5AL1	Or5al5
OR5AL1	Or5al6
OR5AL1	Or5al1
MLLT11	Mllt11
TSPAN9	Tspan9
GTF3C2	Gtf3c2
ENO2	Eno2
UCN	Ucn
IL3	Il3
ANKS4B	Anks4b
GALNT14	Galnt14
IL2RA	Il2ra
RBCK1	Rbck1
STX7	Stx7
IL27RA	Il27ra
RGCC	Rgcc
VASH2	Vash2
IL27	Il27
MOB3C	Mob3c
EHD3	Ehd3
IL25	Il25
CMAHP	Cmah
ADGRG6	Adgrg6
IL24	Il24
CEP41	Cep41
BATF3	Batf3
IL23A	Il23a
SH3BGRL2	Sh3bgrl2
IL22	Il22b
BTBD9	Btbd9
AIG1	Aig1
IL2	Il2
IL1RAP	Il1rap
OR5AN1	Or5an11
OR5AN1	Or5an1
OR5AN1	Or5an1c
OR5AN1	Or5an1b
OR5AN1	Or5an9
OR5AN1	Or5an10
OR5AP2	Or5ap2
OR5AR1	Or5ar1
OR5AS1	Or5as1
OR5B12	Or5b12b
TAAR9	Taar9
TAAR8	Taar8c
TAAR7P	Taar7e
TAAR7P	Taar7d
TAAR8	Taar8b
TAAR7P	Taar7f
TAAR8	Taar8a
TAAR7P	Taar7b
IGF2R	Igf2r
TAAR7P	Taar7a
OR51H1	Or51h7
OR51M1	Or51m1
OR51Q1	Or51q1c
OR51Q1	Or51q1
OR51S1	Or51s1
OR51T1	Or51t4
OR51V1	Or51v8
OR52A5	Or52a5b
OR52W1	Or52w1
OR56A3	Or56a3b
UNC93A	Unc93a
REN	Ren2
MGA	Mga
REN	Ren1
UNC93A	Unc93a2
RND1	Rnd1
CEP85L	Cep85l
POU1F1	Pou1f1
IPO4	Ipo4
GLCE	Glce
PKIB	Pkib
NLK	Nlk
MCM9	Mcm9
IL1B	Il1b
SCARA3	Scara3
SYK	Syk
CLVS2	Clvs2
BLNK	Blnk
KCNH6	Kcnh6
MAN1A1	Man1a
OR56A3	Or56a3
OR56A4	Or56a5
OR56A5	Or56a5
OR56A4	Or56a4
OR56B1	Or56b1b
OR56B1	Or56b1
OR56B2P	Or56b2j
OR56B4	Or56b2j
OR56B2P	Or56b2
OR56B4	Or56b35
OR56B4	Or56b34
OR5A1	Or5a1
MTSS2	Mtss2
DCUN1D4	Dcun1d4
SLAIN2	Slain2
LRG1	Lrg1
OCIAD2	Ociad2
PALLD	Palld
RMDN3	Rmdn3
NUDT14	Nudt14
GPATCH2	Gpatch2
ZC3H14	Zc3h14
EPHA8	Epha8
DUSP10	Dusp10
MIA3	Mia3
ADCY3	Adcy3
TAF1A	Taf1a
MYSM1	Mysm1
WDR26	Wdr26
TTLL2	Ttll2
BATF	Batf
RFX6	Rfx6
ADAM20	Adam25
ADAM20	Adam39
ADAM6	Adam6a
ADAM5	Adam5
ADAM3A	Adam3
ADAM32	Adam32
ADAM30	Adam30
ADAM29	Adam29
ADAM24P	Adam24
ADAM21	Adam21
ADAM20	Adam20
ADAMTS14	Adamts14
SLC44A4	Slc44a4
SLC16A9	Slc16a9
GGT1	Ggt1
GGT2P	Ggt1
GGT3P	Ggt1
GGTLC1	Ggt1
GGTLC2	Ggt1
GGTLC3	Ggt1
ACSM4	Acsm4
ACSM2A	Acsm2
ACSM2B	Acsm2
IL1R2	Il1r2
ACSM1	Acsm1
IL1A	Il1a
ACRV1	Acrv1
IL18RAP	Il18rap
ACTL7A	Actl7a
ACTL11P	Actl11
ACTL10	Actl10
ACTG2	Actg2
ACTE1P	Acte1
ACTBL2	Actbl2
ACSM5	Acsm5
ACTR1A	Actr1a
ACTL9	Actl9
ACTL7B	Actl7b
ADAM2	Adam2
ADAM1B	Adam1b
ADAM1A	Adam1a
ADAM18	Adam18
ACVR1C	Acvr1c
ACTRT3	Actrt3
ACTRT2	Actrt2
ACTRT1	Actrt1
TNFAIP8L2	Tnfaip8l2
IFNG	Ifng
STX8	Stx8
SP7	Sp7
LIPC	Lipc
GFRA2	Gfra2
FIBP	Fibp
UTS2	Uts2
SLX4IP	Slx4ip
ABCA17P	Abca17
CRYM-AS1	Abca15
IGKV4-1	Igkv8-27
ABCA13	Abca13
IGKV4-1	Igkv8-19
A4GNT	A4gnt
IGKV4-1	Igkv8-24
A4GALT	A4galt
IGKV4-1	Igkv8-26
A3GALT2	A3galt2
IGKV3-11	Igkv3-12
IGKV3-15	Igkv3-12
IGKV3-20	Igkv3-12
IGKV3-7	Igkv3-12
IGKV3D-11	Igkv3-12
IGKV3D-15	Igkv3-12
IGKV3D-20	Igkv3-12
IGKV3D-7	Igkv3-12
IGKV3OR2-268	Igkv3-12
ABHD5	Abhd5
IGKV4-1	Igkv6-29
ABHD16B	Abhd16b
IGKV4-1	Igkv8-34
ABHD1	Abhd1
IGKV4-1	Igkv8-21
ABCG2	Abcg3
IGKV4-1	Igkv8-30
ABCD2	Abcd2
IGKV4-1	Igkv8-28
IGKV4-1	Igkv8-18
GRINA	Grina
SPATA6L	Spata6l
MIS12	Mis12
XYLB	Xylb
CHMP5	Chmp5
HMBS	Hmbs
SH3BGRL	Sh3bgrl
SNX15	Snx15
TARS1	Tars1
CLCNKA	Clcnka
CLCNKB	Clcnka
ACKR1	Ackr1
ACCSL	Accsl
IGSF23	Igsf23
ACAD10	Acad12
IGLV4-3	Iglv3
IGLV4-60	Iglv3
IGLV4-69	Iglv3
ACAD10	Acad10
IGKV5-2	Igkv17-127
ABO	Abo
IGKV5-2	Igkv17-121
ACRBP	Acrbp
IL18R1	Il18r1
ACP4	Acp4
IL18BP	Il18bp
ACP3	Acp3
IL18	Il18
ACOX2	Acox2
IL17RB	Il17rb
ACOT12	Acot12
IL17B	Il17b
ACKR2	Ackr2
IKZF3	Ikzf3
IHO1	Iho1
CLCNKA	Clcnkb
CLCNKB	Clcnkb
CYBB	Cybb
CISD2	Cisd2
MIF4GD	Mif4gd
KCMF1	Kcmf1
GORAB	Gorab
TMEM231	Tmem231
PSMC2	Psmc2
NUDT5	Nudt5
NNMT	Nnmt
RNF14	Rnf14
INMT	Inmt
MYMK	Mymk
ERGIC2	Ergic2
RNF141	Rnf141
UBL7	Ubl7
SLC12A2	Slc12a2
TMEM106B	Tmem106b
TUBD1	Tubd1
RHOC	Rhoc
MIR140	Mir140
MIR20A	Mir20a
IGHG1	Ighg2a
IGHG2	Ighg2a
IGHG3	Ighg2a
IGHG4	Ighg2a
MIR19A	Mir19a
IGHG1	Ighg
IGHG2	Ighg
IGHG3	Ighg
IGHG4	Ighg
MIR17	Mir17
IGHE	Ighe
OR4X2	Or4x11
TUNAR	Tunar
IGHD	Ighd
OR4X2	Or4x15
GAS5	Gas5
IGHA1	Igha
IGHA2	Igha
OR4X2	Or4x18
SOX2-OT	Sox2ot
IGFL2	Igfl3
IGFL3	Igfl3
IGFL4	Igfl3
OR4X2	Or4x6
IGFBPL1	Igfbpl1
OR51B2	Or51b17
MIR9-1	Mir9-1
IGHG1	Ighg3
IGHG2	Ighg3
IGHG3	Ighg3
IGHG4	Ighg3
OR4N2	Or4n4b
OR4N4	Or4n4b
MIR150	Mir150
IGHG1	Ighg2c
IGHG2	Ighg2c
IGHG3	Ighg2c
IGHG4	Ighg2c
OR4N4	Or4n4
MIR9-3	Mir9-3
IGHG1	Ighg2b
IGHG2	Ighg2b
IGHG3	Ighg2b
IGHG4	Ighg2b
OR4N5	Or4n5
IGHG1	Ighg1
IGHG2	Ighg1
IGHG3	Ighg1
IGHG4	Ighg1
OR4P4	Or4p4
OR4Q3	Or4q3
OR4X2	Or4x13
MSRB3	Msrb3
SLC10A2	Slc10a2
MAPK11	Mapk11
SLC45A4	Slc45a4
YIPF6	Yipf6
HSD17B3	Hsd17b3
TMEM19	Tmem19
PRELID1	Prelid1
CRYBA2	Cryba2
ABHD14B	Abhd14b
EMC2	Emc2
RALA	Rala
ATG4C	Atg4c
TMEM134	Tmem134
LYSMD3	Lysmd3
TMEM254	Tmem254
CDK5RAP3	Cdk5rap3
CD53	Cd53
VAMP4	Vamp4
SFT2D1	Sft2d1
MIR146A	Mir146
MIR142	Mir142
IGKV1-13	Igkv12-38
IGKV1-27	Igkv12-38
IGKV1-33	Igkv12-38
IGKV1-39	Igkv12-38
IGKV1-8	Igkv12-38
IGKV1D-13	Igkv12-38
IGKV1D-33	Igkv12-38
IGKV1D-43	Igkv12-38
IGKV1D-8	Igkv12-38
IGKV1OR2-108	Igkv12-38
MIR92A1	Mir92-1
IGKV1-13	Igkv12-44
IGKV1-27	Igkv12-44
IGKV1-33	Igkv12-44
IGKV1-39	Igkv12-44
IGKV1-8	Igkv12-44
IGKV1D-13	Igkv12-44
IGKV1D-33	Igkv12-44
IGKV1D-43	Igkv12-44
IGKV1D-8	Igkv12-44
IGKV1OR2-108	Igkv12-44
MIR126	Mir126a
IGKV1-13	Igkv12-41
IGKV1-33	Igkv12-41
IGKV1-39	Igkv12-41
IGKV1-8	Igkv12-41
IGKV1D-13	Igkv12-41
IGKV1D-33	Igkv12-41
IGKV1D-39	Igkv12-41
IGKV1D-43	Igkv12-41
IGKV1D-8	Igkv12-41
IGKV1OR2-108	Igkv12-41
MIR18A	Mir18
IGKC	Igkv15-103
IGKV1-12	Igkv15-103
IGKV1-16	Igkv15-103
IGKV1-27	Igkv15-103
IGKV1-33	Igkv15-103
IGKV1-37	Igkv15-103
IGKV1-5	Igkv15-103
IGKV1D-12	Igkv15-103
IGKV1D-16	Igkv15-103
IGKV1D-33	Igkv15-103
IGKV1D-37	Igkv15-103
IGKV1OR2-108	Igkv15-103
MIR19B1	Mir19b-1
IGIP	Igip
MIR132	Mir132
IGHV2-26	Ighv8-4
IGHV2-5	Ighv8-4
IGHV2-70	Ighv8-4
IGHV2-70D	Ighv8-4
IGHV2OR16-5	Ighv8-4
A1BG	A1bg
IGKV3-11	Igkv3-4
IGKV3-15	Igkv3-4
IGKV3-20	Igkv3-4
IGKV3-7	Igkv3-4
IGKV3D-11	Igkv3-4
IGKV3D-15	Igkv3-4
IGKV3D-20	Igkv3-4
IGKV3D-7	Igkv3-4
IGKV3OR2-268	Igkv3-4
OR51B6	Or51b6
MIR451A	Mir451a
IGKV3-11	Igkv18-36
IGKV3-15	Igkv18-36
IGKV3-20	Igkv18-36
IGKV3-7	Igkv18-36
IGKV3D-11	Igkv18-36
IGKV3D-15	Igkv18-36
IGKV3D-20	Igkv18-36
IGKV3D-7	Igkv18-36
IGKV3OR2-268	Igkv18-36
OR51C1P	Or51f23
MIR499A	Mir499
IGKV1-33	Igkv16-104
IGKV1-37	Igkv16-104
IGKV1D-33	Igkv16-104
IGKV1D-37	Igkv16-104
IGKV1OR2-108	Igkv16-104
OR51C1P	Or51f23b
MIR129-2	Mir129-2
IGKV1-27	Igkv14-126
IGKV1-33	Igkv14-126
IGKV1-37	Igkv14-126
IGKV1D-33	Igkv14-126
IGKV1D-37	Igkv14-126
IGKV1D-43	Igkv14-126
OR51G1	Or51g1
IGKV1-27	Igkv12-98
IGKV1D-43	Igkv12-98
OR51G2	Or51g2
NUDT15	Nudt15
SFT2D1	Sft2d1rt
INO80C	Ino80c
PRKACB	Prkacb
RBM24	Rbm24
SRI	Sri
APTX	Aptx
CUL4A	Cul4a
DLG4	Dlg4
C6	C6
BSX	Bsx
EFHC1	Efhc1
WIPF2	Wipf2
LYL1	Lyl1
TMED5	Tmed5
CYP51A1	Cyp51
AFG1L	Afg1l
DIABLO	Diablo
SAE1	Sae1
TRMT1L	Trmt1l
TMEM54	Tmem54
LUM	Lum
OS9	Os9
CLDN15	Cldn15
EIF2B1	Eif2b1
TRDN	Trdn
GPC1	Gpc1
RAC2	Rac2
POF1B	Pof1b
PDCD6	Pdcd6
BET1	Bet1
CBFA2T2	Cbfa2t2
PRKG1	Prkg1
STXBP6	Stxbp6
STIL	Stil
KCNMB1	Kcnmb1
IFI16	Ifi214
CDC73	Cdc73
KCNMB2	Kcnmb2
IFI16	Ifi209
PIGG	Pigg
IFI16	Mndal
PIEZO1	Piezo1
IFI16	Ifi205
MNDA	Ifi205
PYHIN1	Ifi205
EMP3	Emp3
IFI16	Ifi203
DBF4	Dbf4
IFI16	Ifi211
MNDA	Ifi211
PYHIN1	Ifi211
B4GALNT2	B4galnt2
IFI16	Ifi208
OR4D5	Or4d5
ACHE	Ache
IDNK	Idnk
OR4D6	Or4d6
ABCC4	Abcc4
ICOSLG	Icosl
OR4F15	Or4f15
KCNT2	Kcnt2
IFI16	Ifi203-ps
OR4C6	Or4c123
TRPC5OS	Trpc5os
IFI16	Ifi207
OR4C6	Or4c102
TRPM8	Trpm8
OR4D10	Or4d10c
TRPV3	Trpv3
OR4D10	Or4d10b
TSACC	Tsacc
OR4D10	Or4d10
OR4D9	Or4d10
TSBP1	Tsbp1
OR4D11	Or4d11
TSGA10IP	Tsga10ip
OR4D2	Or4d2
TSGA13	Tsga13
OR4D2	Or4d2b
KCNJ15	Kcnj15
PPID	Ppid
HGF	Hgf
TNFAIP8L3	Tnfaip8l3
POLR1G	Polr1g
SELE	Sele
RTN4IP1	Rtn4ip1
SF3B6	Sf3b6
SURF4	Surf4
HIF3A	Hif3a
CYCS	Cycs
REG4	Reg4
NUDT21	Nudt21
CYCTP	Cyct
WDR20	Wdr20
UCP3	Ucp3
VAMP3	Vamp3
PYCR3	Pycr3
APBB1IP	Apbb1ip
FABP6	Fabp6
MLLT1	Mllt1
PRDM7	Prdm9
PRDM9	Prdm9
LSM6	Lsm6
ARHGAP39	Arhgap39
CUTALP	Cutal
RPL39	Rpl39
SERPINA10	Serpina10
PTGER2	Ptger2
RPL39L	Rpl39l
ST3GAL3	St3gal3
PRPF4	Prpf4
RPS6KB2	Rps6kb2
IFNL1	Ifnl3
IFNL2	Ifnl3
IFNL3	Ifnl3
CFAP184	Ccdc96
IFNL1	Ifnl2
IFNL2	Ifnl2
IFNL3	Ifnl2
CCDC40	Ccdc40
IFNG-AS1	Ifngas1
PRKCSH	Prkcsh
IFNAR1	Ifnar1
CCDC39	Ccdc39
IFITM10	Ifitm10
OR4K5	Or4k5
DRC12	Ccdc153
IFI16	Ifi204
MNDA	Ifi204
PYHIN1	Ifi204
OR4L1	Or4l15
CFAP263	Ccdc113
IFI16	Ifi213
OR4L1	Or4l1
SIPA1	Sipa1
IFI16	Ifi206
OR4M1	Or4m1
OR4M2	Or4m1
OR4M2B	Or4m1
RIIAD1	Riiad1
IGFBP4	Igfbp4
OR4F16	Or4f7
OR4F21	Or4f7
OR4F29	Or4f7
OR4F3	Or4f7
UBR3	Ubr3
IGF2-AS	Igf2os
OR4F17	Or4f4b
OR4F4	Or4f4b
OR4F5	Or4f4b
IFT43	Ift43
OR4F17	Or4f4-ps1
OR4F4	Or4f4-ps1
OR4F5	Or4f4-ps1
OR4F17	Or4f17-ps1
OR4F4	Or4f17-ps1
OR4F5	Or4f17-ps1
OR4F6	Or4f6
OR4K1	Or4k1
OR4K2	Or4k2
RPS13	Rps13
DERL3	Derl3
MNAT1	Mnat1
OSER1	Oser1
SRA1	Sra1
TTLL1	Ttll1
MED6	Med6
DRAM2	Dram2
PPP1R12A	Ppp1r12a
MED18	Med18
GOLGA7	Golga7
LIN7C	Lin7c
DCTN2	Dctn2
RABAC1	Rabac1
BUB1B-PAK6	Pak6
PAK6	Pak6
MAFF	Maff
RPL11	Rpl11
ENPP5	Enpp5
ARPP19	Arpp19
COPS2	Cops2
FNDC4	Fndc4
SIX6	Six6
SMS	Sms
LCA5	Lca5
HS3ST5	Hs3st5
RIOX2	Riox2
MED22	Med22
COA7	Coa7
HRNR	Hrnr
AP4B1	Ap4b1
OSTF1	Ostf1
TTC32	Ttc32
HRK	Hrk
TSPAN12	Tspan12
CAB39	Cab39
HRH4	Hrh4
C1orf35	2310033P09Rik
PPIL3	Ppil3
ST6GALNAC1	St6galnac1
HRCT1	Hrct1
BYSL	Bysl
HRC	Hrc
HR	Hr
HPS6	Hps6
HPGDS	Hpgds
HOXD8	Hoxd8
TRGV1	Trgv7
TRGV2	Trgv7
TRGV3	Trgv7
TRGV4	Trgv7
TRGV5	Trgv7
TRGV8	Trgv7
OR4C15	Or4c121
TRGV10	Trgv2
TRGV11	Trgv2
OR4C12	Or4c12b
TREM2	Trem2
OR4C13	Or4c10
OR4C46	Or4c10
TREML1	Treml1
OR4C13	Or4c10b
OR4C46	Or4c10b
TREML2	Treml2
OR4C15	Or4c111
TREML4	Treml4
OR4C15	Or4c15b
TRERF1	Trerf1
OR4C15	Or4c107
TRGC1	Trgc1
TRGC2	Trgc1
OR4C15	Or4c108
TRGC1	Trgc3
TRGC2	Trgc3
OR4C15	Or4c117
TRGC1	Trgc2
TRGC2	Trgc2
OR4C15	Or4c124
TRGC1	Trgc4
OR4C15	Or4c116
CCL11	Ccl11
DDT	Ddt
DDTL	Ddt
CCL7	Ccl7
CHORDC1	Chordc1
RPP40	Rpp40
CCL8	Ccl8
PLEKHF1	Plekhf1
PIGK	Pigk
CCL2	Ccl12
UBE2N	Ube2n
CAV2	Cav2
MCTS1	Mcts1
RNF144B	Rnf144b
NDUFA1	Ndufa1
STUM	Stum
SLC25A27	Slc25a27
RCN3	Rcn3
CCL13	Ccl2
CCL2	Ccl2
MTFP1	Mtfp1
TRNT1	Trnt1
MCTS2	Mcts2
SRF	Srf
RPF1	Rpf1
